Scenario,DateTime,Thermal Generation (MWh),Renewables Curtailment (MWh),Storage Charging (MWh),Storage Discharging (MWh),Storage SOC (MWh),Objective Value,Solve Time (s),Memory Allocated
Scenario_1,2020-07-01T00:00:00.0,2.7871025707141543e6,27417.89999999998,7071.83164153017,7071.83164153017,55775.66799493411,1.324665489213134e8,80.32241797447205,2.43246408e8
Scenario_2,2020-07-01T00:00:00.0,2.7826602004725006e6,27417.89999999998,48565.235727415486,48565.2357274155,574595.9885330263,1.2973915439283685e8,69.68451023101807,1.13286488e8
